Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 1, 2020",Anadolu Efes Istanbul,Zenit St. Petersburg,69,73,0
"Oct 1, 2020",Olympiacos Piraeus,Zalgiris Kaunas,67,68,0
"Oct 1, 2020",Maccabi Tel Aviv,ALBA Berlin,80,73,1
"Oct 1, 2020",FC Barcelona,CSKA Moscow,76,66,1
"Oct 1, 2020",Valencia Basket,LDLC ASVEL,65,63,1
"Oct 2, 2020",Fenerbahce BEKO,Crvena Zvezda Belgrade,77,63,1
"Oct 2, 2020",Khimki Moscow Region,Panathinaikos Athens,76,78,0
"Oct 2, 2020",FC Bayern München,AX Milano,79,81,0
"Oct 2, 2020",Baskonia,Real Madrid,76,63,1
"Oct 8, 2020",CSKA Moscow,Maccabi Tel Aviv,76,72,1
"Oct 8, 2020",Anadolu Efes Istanbul,Fenerbahce BEKO,71,80,0
"Oct 8, 2020",Real Madrid,Valencia Basket,77,93,0
"Oct 9, 2020",Crvena Zvezda Belgrade,Baskonia,90,73,1
"Oct 9, 2020",Zenit St. Petersburg,FC Barcelona,74,70,1
"Oct 9, 2020",ALBA Berlin,FC Bayern München,72,90,0
"Oct 9, 2020",AX Milano,LDLC ASVEL,87,73,1
"Oct 9, 2020",Panathinaikos Athens,Olympiacos Piraeus,71,78,0
"Oct 10, 2020",Khimki Moscow Region,Zalgiris Kaunas,70,84,0
"Oct 13, 2020",Crvena Zvezda Belgrade,Zalgiris Kaunas,69,75,0
"Oct 13, 2020",ALBA Berlin,Anadolu Efes Istanbul,72,93,0
"Oct 13, 2020",Valencia Basket,FC Barcelona,66,71,0
"Oct 14, 2020",Fenerbahce BEKO,CSKA Moscow,77,78,0
"Oct 14, 2020",Olympiacos Piraeus,AX Milano,86,75,1
"Oct 14, 2020",Maccabi Tel Aviv,FC Bayern München,82,85,0
"Oct 14, 2020",Real Madrid,Khimki Moscow Region,94,85,1
"Oct 15, 2020",Zalgiris Kaunas,Anadolu Efes Istanbul,89,73,1
"Oct 15, 2020",FC Barcelona,Panathinaikos Athens,97,89,1
"Oct 16, 2020",CSKA Moscow,ALBA Berlin,88,93,0
"Oct 16, 2020",Fenerbahce BEKO,FC Bayern München,71,75,0
"Oct 16, 2020",AX Milano,Real Madrid,78,70,1
"Oct 16, 2020",Olympiacos Piraeus,Maccabi Tel Aviv,85,82,1
"Oct 16, 2020",Baskonia,Khimki Moscow Region,77,60,1
"Oct 22, 2020",Zalgiris Kaunas,Valencia Basket,82,94,0
"Oct 22, 2020",Panathinaikos Athens,Fenerbahce BEKO,82,68,1
"Oct 22, 2020",Crvena Zvezda Belgrade,CSKA Moscow,86,84,1
"Oct 23, 2020",Khimki Moscow Region,Maccabi Tel Aviv,87,89,0
"Oct 23, 2020",FC Bayern München,Olympiacos Piraeus,74,68,1
"Oct 23, 2020",FC Barcelona,Real Madrid,79,72,1
"Oct 29, 2020",LDLC ASVEL,Zalgiris Kaunas,74,83,0
"Oct 29, 2020",CSKA Moscow,Valencia Basket,84,75,1
"Oct 29, 2020",Maccabi Tel Aviv,Fenerbahce BEKO,65,75,0
"Oct 29, 2020",Real Madrid,FC Bayern München,100,82,1
"Oct 30, 2020",Khimki Moscow Region,Crvena Zvezda Belgrade,83,77,1
"Oct 30, 2020",Olympiacos Piraeus,Anadolu Efes Istanbul,79,84,0
"Oct 30, 2020",Baskonia,FC Barcelona,71,72,0
"Nov 5, 2020",Zenit St. Petersburg,Olympiacos Piraeus,66,75,0
"Nov 5, 2020",Anadolu Efes Istanbul,Maccabi Tel Aviv,91,89,1
"Nov 5, 2020",ALBA Berlin,FC Barcelona,67,103,0
"Nov 5, 2020",Baskonia,LDLC ASVEL,86,88,0
"Nov 6, 2020",Fenerbahce BEKO,Khimki Moscow Region,83,71,1
"Nov 6, 2020",Zalgiris Kaunas,Real Madrid,90,93,0
"Nov 6, 2020",FC Bayern München,Crvena Zvezda Belgrade,74,59,1
"Nov 6, 2020",Panathinaikos Athens,CSKA Moscow,83,89,0
"Nov 6, 2020",Valencia Basket,AX Milano,86,81,1
"Nov 11, 2020",LDLC ASVEL,Crvena Zvezda Belgrade,68,89,0
"Nov 12, 2020",CSKA Moscow,Baskonia,89,86,1
"Nov 12, 2020",Olympiacos Piraeus,ALBA Berlin,75,71,1
"Nov 12, 2020",Maccabi Tel Aviv,Zalgiris Kaunas,85,57,1
"Nov 12, 2020",FC Barcelona,Fenerbahce BEKO,97,55,1
"Nov 13, 2020",Crvena Zvezda Belgrade,Real Madrid,67,73,0
"Nov 13, 2020",FC Bayern München,Valencia Basket,90,79,1
"Nov 13, 2020",LDLC ASVEL,Zenit St. Petersburg,53,66,0
"Nov 13, 2020",Panathinaikos Athens,Anadolu Efes Istanbul,77,80,0
"Nov 17, 2020",Zenit St. Petersburg,Khimki Moscow Region,83,88,0
"Nov 17, 2020",Zalgiris Kaunas,CSKA Moscow,78,87,0
"Nov 17, 2020",Anadolu Efes Istanbul,FC Bayern München,71,74,0
"Nov 17, 2020",Baskonia,Fenerbahce BEKO,86,68,1
"Nov 17, 2020",Valencia Basket,Panathinaikos Athens,95,83,1
"Nov 18, 2020",ALBA Berlin,LDLC ASVEL,76,75,1
"Nov 18, 2020",AX Milano,Crvena Zvezda Belgrade,79,87,0
"Nov 18, 2020",Real Madrid,Maccabi Tel Aviv,79,63,1
"Nov 19, 2020",Khimki Moscow Region,Anadolu Efes Istanbul,77,105,0
"Nov 19, 2020",FC Bayern München,CSKA Moscow,81,89,0
"Nov 19, 2020",Baskonia,Panathinaikos Athens,93,72,1
"Nov 20, 2020",ALBA Berlin,Zenit St. Petersburg,66,73,0
"Nov 20, 2020",AX Milano,Zalgiris Kaunas,98,92,1
"Nov 20, 2020",FC Barcelona,Crvena Zvezda Belgrade,76,65,1
"Nov 20, 2020",Real Madrid,Fenerbahce BEKO,94,74,1
"Nov 20, 2020",Valencia Basket,Maccabi Tel Aviv,82,80,1
"Nov 23, 2020",Baskonia,Zenit St. Petersburg,70,77,0
"Nov 26, 2020",CSKA Moscow,Real Madrid,74,73,1
"Nov 26, 2020",Crvena Zvezda Belgrade,Anadolu Efes Istanbul,64,75,0
"Nov 26, 2020",Zalgiris Kaunas,Zenit St. Petersburg,75,83,0
"Nov 26, 2020",ALBA Berlin,Khimki Moscow Region,100,80,1
"Nov 26, 2020",Maccabi Tel Aviv,AX Milano,85,86,0
"Nov 26, 2020",Olympiacos Piraeus,Baskonia,76,90,0
"Nov 27, 2020",Fenerbahce BEKO,Valencia Basket,86,90,0
"Nov 27, 2020",Panathinaikos Athens,FC Bayern München,83,76,1
"Nov 27, 2020",LDLC ASVEL,FC Barcelona,80,68,1
"Dec 1, 2020",LDLC ASVEL,Panathinaikos Athens,97,73,1
"Dec 1, 2020",AX Milano,ALBA Berlin,75,55,1
"Dec 3, 2020",CSKA Moscow,Olympiacos Piraeus,80,61,1
"Dec 3, 2020",Zenit St. Petersburg,Fenerbahce BEKO,65,73,0
"Dec 3, 2020",Maccabi Tel Aviv,Crvena Zvezda Belgrade,81,76,1
"Dec 3, 2020",AX Milano,Panathinaikos Athens,77,80,0
"Dec 3, 2020",Valencia Basket,ALBA Berlin,92,100,0
"Dec 4, 2020",Anadolu Efes Istanbul,Baskonia,59,77,0
"Dec 4, 2020",Zalgiris Kaunas,FC Barcelona,62,73,0
"Dec 4, 2020",FC Bayern München,Khimki Moscow Region,80,77,1
