...1,Date,Saison,Home,Away,Punkte Heim,Punkte Gast,Home_W,Punktedifferenz,Zuschauer,Budget_Total,Budget_Spieler
1,2000-10-16,2000/01,Lugano Tigers,Zadar,75,74,1,1,NA,NA,NA
2,2000-10-16,2000/01,Teamsystem Bologna,Zalgiris Kaunas,91,85,1,6,NA,NA,NA
3,2000-10-16,2000/01,Movistar Estudiantes,Peristeri,86,91,0,-5,NA,NA,NA
4,2000-10-16,2000/01,Spirou Basket,St.Petersburg Lions,80,68,1,12,NA,NA,NA
5,2000-10-16,2000/01,Cibona Zagreb,Vitoria,62,60,1,2,NA,NA,NA
6,2000-10-16,2000/01,Ovarense GAVEX,Hapoel Jerusalem,82,94,0,-12,NA,NA,NA
7,2000-10-16,2000/01,Benetton Treviso,KK Union Olimpija Ljubljana,69,71,0,-2,NA,NA,NA
8,2000-10-16,2000/01,Buducnost VOLI,Barcelona,77,85,0,-8,NA,NA,NA
9,2000-10-16,2000/01,PAOK mateco,Müller Verona,97,94,1,3,NA,NA,NA
10,2000-10-16,2000/01,Real Madrid,Olympiacos Piraeus,75,73,1,2,NA,NA,NA
11,2000-10-18,2000/01,AEK Athens,Kinder Bologna,78,77,1,1,NA,NA,NA
12,2000-10-18,2000/01,London Towers,Skyliners Frankfurt,86,61,1,25,NA,NA,NA
13,2000-10-25,2000/01,Zalgiris Kaunas,Movistar Estudiantes,77,80,0,-3,NA,NA,NA
14,2000-10-25,2000/01,Zadar,Teamsystem Bologna,87,91,0,-4,NA,NA,NA
15,2000-10-25,2000/01,Peristeri,Lugano Tigers,85,68,1,17,NA,NA,NA
16,2000-10-25,2000/01,St.Petersburg Lions,AEK Athens,69,90,0,-21,NA,NA,NA
17,2000-10-25,2000/01,Vitoria,Spirou Basket,76,64,1,12,NA,NA,NA
18,2000-10-25,2000/01,Kinder Bologna,Cibona Zagreb,106,88,1,18,NA,NA,NA
19,2000-10-25,2000/01,KK Union Olimpija Ljubljana,Ovarense GAVEX,102,79,1,23,NA,NA,NA
20,2000-10-25,2000/01,Skyliners Frankfurt,Buducnost VOLI,79,94,0,-15,NA,NA,NA
21,2000-10-25,2000/01,Müller Verona,London Towers,102,76,1,26,NA,NA,NA
22,2000-10-25,2000/01,Barcelona,PAOK mateco,58,67,0,-9,NA,NA,NA
23,2000-10-26,2000/01,Hapoel Jerusalem,Real Madrid,74,87,0,-13,NA,NA,NA
24,2000-10-26,2000/01,Olympiacos Piraeus,Benetton Treviso,82,73,1,9,NA,NA,NA
25,2000-11-01,2000/01,PAOK mateco,Skyliners Frankfurt,100,70,1,30,NA,NA,NA
26,2000-11-01,2000/01,Lugano Tigers,Teamsystem Bologna,72,100,0,-28,NA,NA,NA
27,2000-11-01,2000/01,Movistar Estudiantes,Zadar,93,81,1,12,NA,NA,NA
28,2000-11-01,2000/01,Peristeri,Zalgiris Kaunas,74,92,0,-18,NA,NA,NA
29,2000-11-01,2000/01,AEK Athens,Spirou Basket,97,73,1,24,NA,NA,NA
30,2000-11-01,2000/01,Cibona Zagreb,St.Petersburg Lions,75,70,1,5,NA,NA,NA
31,2000-11-01,2000/01,Vitoria,Kinder Bologna,59,65,0,-6,NA,NA,NA
32,2000-11-01,2000/01,Benetton Treviso,Hapoel Jerusalem,78,71,1,7,NA,NA,NA
33,2000-11-01,2000/01,Ovarense GAVEX,Real Madrid,73,80,0,-7,NA,NA,NA
34,2000-11-01,2000/01,KK Union Olimpija Ljubljana,Olympiacos Piraeus,69,73,0,-4,NA,NA,NA
35,2000-11-01,2000/01,Müller Verona,Barcelona,94,90,1,4,NA,NA,NA
36,2000-11-02,2000/01,London Towers,Buducnost VOLI,88,95,0,-7,NA,NA,NA
37,2000-11-09,2000/01,Teamsystem Bologna,Movistar Estudiantes,81,72,1,9,NA,NA,NA
38,2000-11-09,2000/01,Zadar,Peristeri,79,92,0,-13,NA,NA,NA
39,2000-11-09,2000/01,Lugano Tigers,Zalgiris Kaunas,95,87,1,8,NA,NA,NA
40,2000-11-09,2000/01,St.Petersburg Lions,Vitoria,79,81,0,-2,NA,NA,NA
41,2000-11-09,2000/01,AEK Athens,Cibona Zagreb,83,75,1,8,NA,NA,NA
42,2000-11-09,2000/01,Spirou Basket,Kinder Bologna,58,80,0,-22,NA,NA,NA
43,2000-11-09,2000/01,Real Madrid,Benetton Treviso,64,75,0,-11,NA,NA,NA
44,2000-11-09,2000/01,Hapoel Jerusalem,KK Union Olimpija Ljubljana,76,88,0,-12,NA,NA,NA
45,2000-11-09,2000/01,Ovarense GAVEX,Olympiacos Piraeus,53,100,0,-47,NA,NA,NA
46,2000-11-09,2000/01,London Towers,Barcelona,82,97,0,-15,NA,NA,NA
47,2000-11-09,2000/01,Buducnost VOLI,PAOK mateco,83,71,1,12,NA,NA,NA
48,2000-11-09,2000/01,Skyliners Frankfurt,Müller Verona,80,97,0,-17,NA,NA,NA
49,2000-11-15,2000/01,Zalgiris Kaunas,Zadar,97,85,1,12,NA,NA,NA
50,2000-11-15,2000/01,Vitoria,AEK Athens,85,65,1,20,NA,NA,NA
51,2000-11-15,2000/01,Cibona Zagreb,Spirou Basket,85,70,1,15,NA,NA,NA
52,2000-11-15,2000/01,Kinder Bologna,St.Petersburg Lions,84,78,1,6,NA,NA,NA
53,2000-11-15,2000/01,Olympiacos Piraeus,Hapoel Jerusalem,102,69,1,33,NA,NA,NA
54,2000-11-15,2000/01,KK Union Olimpija Ljubljana,Real Madrid,88,79,1,9,NA,NA,NA
55,2000-11-15,2000/01,Benetton Treviso,Ovarense GAVEX,106,81,1,25,NA,NA,NA
56,2000-11-15,2000/01,Müller Verona,Buducnost VOLI,86,91,0,-5,NA,NA,NA
57,2000-11-15,2000/01,Barcelona,Skyliners Frankfurt,86,60,1,26,NA,NA,NA
58,2000-11-15,2000/01,PAOK mateco,London Towers,70,58,1,12,NA,NA,NA
59,2000-11-16,2000/01,Peristeri,Teamsystem Bologna,83,70,1,13,NA,NA,NA
60,2000-11-16,2000/01,Movistar Estudiantes,Lugano Tigers,97,76,1,21,NA,NA,NA
61,2000-12-06,2000/01,St.Petersburg Lions,Spirou Basket,83,77,1,6,NA,NA,NA
62,2000-12-06,2000/01,Kinder Bologna,AEK Athens,81,66,1,15,NA,NA,NA
63,2000-12-06,2000/01,Peristeri,Movistar Estudiantes,91,81,1,10,NA,NA,NA
64,2000-12-06,2000/01,Zalgiris Kaunas,Teamsystem Bologna,73,56,1,17,NA,NA,NA
65,2000-12-06,2000/01,Zadar,Lugano Tigers,118,79,1,39,NA,NA,NA
66,2000-12-06,2000/01,Vitoria,Cibona Zagreb,92,66,1,26,NA,NA,NA
67,2000-12-06,2000/01,Olympiacos Piraeus,Real Madrid,91,84,1,7,NA,NA,NA
68,2000-12-06,2000/01,Hapoel Jerusalem,Ovarense GAVEX,106,71,1,35,NA,NA,NA
69,2000-12-06,2000/01,KK Union Olimpija Ljubljana,Benetton Treviso,78,74,1,4,NA,NA,NA
70,2000-12-06,2000/01,Skyliners Frankfurt,London Towers,79,76,1,3,NA,NA,NA
71,2000-12-06,2000/01,Müller Verona,PAOK mateco,102,88,1,14,NA,NA,NA
72,2000-12-06,2000/01,Barcelona,Buducnost VOLI,92,75,1,17,NA,NA,NA
73,2000-12-13,2000/01,Movistar Estudiantes,Zalgiris Kaunas,87,77,1,10,NA,NA,NA
74,2000-12-13,2000/01,Teamsystem Bologna,Zadar,81,77,1,4,NA,NA,NA
75,2000-12-13,2000/01,Lugano Tigers,Peristeri,80,91,0,-11,NA,NA,NA
76,2000-12-13,2000/01,AEK Athens,St.Petersburg Lions,84,73,1,11,NA,NA,NA
77,2000-12-13,2000/01,Spirou Basket,Vitoria,71,74,0,-3,NA,NA,NA
78,2000-12-13,2000/01,Cibona Zagreb,Kinder Bologna,69,74,0,-5,NA,NA,NA
79,2000-12-13,2000/01,Ovarense GAVEX,KK Union Olimpija Ljubljana,70,92,0,-22,NA,NA,NA
